box,year,Clutch_size,ld,average_temperature_laying,average_temperature_per1,average_temperature_per2,average_temperature_per3,average_temperature_per4,Num_fledglings,Num_chicks,num_neighbors,Mother
W25,1988,12,119,10.79583333,12.07692308,11.55625,12.175,12.7875,10,10,8,B069042
EX13,1984,10,115,10.915,9.447619048,10.91875,12.2,14.875,8,10,5,B069051
EX13,1985,12,107,7.3625,8.825,11.4125,12.68125,13.44375,11,12,6,B069051
W98,1984,6,123,9.591666667,9.402941176,10.91875,12.2,14.875,6,6,5,B069132
EX14B,1984,8,129,8.5625,10.49230769,10.75,13.625,16.325,6,8,5,B069189
W66,1984,8,126,8.3625,10.43571429,10.44375,12.95625,15.44375,8,8,3,B069199
W56,1985,10,126,9.925,12.47307692,12.8875,11.625,11.38125,10,10,4,B069199
W51,1984,5,127,8.08,10.19666667,10.89375,12.49375,15.09375,5,5,4,B069236
W4B,1984,7,125,8.635714286,10.259375,10.44375,12.95625,15.44375,7,7,5,B069264
EX35,1984,8,129,8.5625,10.44666667,11.53125,14.65,16.7875,7,8,8,B069386
EX35A,1985,11,112,7.018181818,9.834375,11.94375,12.9375,12.29375,10,10,5,B069386
EX17,1984,11,127,8.731818182,10.43214286,11.53125,14.65,16.7875,10,11,7,B069387
EX61,1984,5,128,7.92,10.04705882,10.75,13.625,16.325,3,4,3,B069478
EX60,1985,9,113,6.816666667,9.496875,11.7875,12.95625,12.48125,9,9,5,B069478
EX59,1986,8,125,11.05625,11.13055556,11.2375,11.98125,15.90625,8,8,4,B069478
EX58,1987,10,112,13.215,9.557692308,8.61875,10.975,12.83125,10,10,6,B069478
EX60,1984,7,131,9.307142857,10.56,11.7375,15.125,16.4625,7,7,6,B069479
W16,1984,4,135,10.0875,10.68666667,12.2,14.875,16.2,4,4,4,B069487
C35,1985,13,124,9.773076923,12.43214286,13.44375,10.7,11.79375,5,13,5,B069557
C37,1985,11,123,9.35,11.42916667,12.95625,12.48125,11.34375,10,10,6,B069592
C56,1986,8,120,10.5625,10.9625,11.3875,11.16875,12.85,7,8,7,B069592
C24,1984,6,125,8.491666667,9.990625,10.89375,12.49375,15.09375,5,6,7,B069890
C120,1985,8,124,9.55,10.85,12.74375,13.29375,10.81875,8,8,6,B069890
MP93,1984,9,127,8.311111111,10.39285714,10.75,13.625,16.325,9,9,3,B069976
MP95,1985,11,113,7.081818182,9.660714286,11.7875,12.95625,12.48125,11,11,2,B069976
B122,1986,7,128,11.07142857,11.03611111,11.2625,13.6875,14.8875,6,7,5,B069976
MP96,1987,10,113,12.785,9.239285714,8.80625,11.98125,12.5625,10,10,6,B069976
MP2,1988,7,121,10.95,12.83461538,10.5,12.19375,11.9625,6,6,4,B069976
EX62,1965,11,125,13.11818182,11.66666667,10.5875,13.8625,15.89375,8,11,3,BA01191
B212,1965,11,109,7.104545455,11.69047619,11.3,10.69375,14.4625,11,11,5,BA01624
B216,1966,7,127,9.278571429,11.34117647,13.575,16.80625,15.10625,5,7,6,BA01624
B99,1965,10,121,11.145,12.70357143,11.23125,12.46875,15.85,8,8,4,BA01686
B113,1965,11,114,8.959090909,12.97692308,11.0625,10.7125,12.8875,11,11,7,BA01767
B53,1965,9,110,7.355555556,11.071875,12.5125,11.94375,11.525,7,8,6,BA02127
C57,1965,10,111,7.595,11.73214286,12.5125,11.94375,11.525,0,10,6,BA02139
EX41B,1967,10,115,8.44,NA,NA,NA,NA,0,0,7,BA02185
O95,1967,7,121,7.785714286,10.97647059,11.30625,13.66875,12.95,5,7,5,BA02187
O96,1968,8,120,8.78125,NA,NA,NA,NA,0,0,5,BA02187
O96,1969,9,127,12.41111111,NA,NA,NA,NA,0,0,4,BA02187
O104,1968,7,120,8.885714286,8.647368421,12.56875,14.175,15.1,5,7,8,BA02190
O105,1969,7,127,12.4,11.41923077,11.68125,11.63125,16.19375,3,3,5,BA02190
SW17,1965,9,129,14.07222222,11.05,10.9625,14.71875,15.5875,8,9,6,BA11056
O82,1965,10,121,11.145,12.56388889,10.69375,14.4625,15.6875,9,9,8,BA11071
O83,1966,10,126,9.99,11.28928571,12.925,16.525,15.38125,7,9,7,BA11071
EX56,1965,13,109,7.473076923,NA,NA,NA,NA,0,0,3,BA11085
C128,1967,8,131,11.28125,NA,NA,NA,NA,0,0,5,BA11566
W84,1967,8,117,8.54375,NA,NA,NA,NA,0,0,2,BA11678
W76,1965,13,121,11.95,NA,NA,NA,NA,0,0,4,BA11768
EX47,1965,10,108,7.21,NA,NA,NA,NA,8,10,9,BA12254
EX49A,1966,8,122,10.16875,10.934375,10.89375,14.975,17.3375,8,8,8,BA12254
EX47,1967,9,109,7.716666667,NA,NA,NA,NA,0,0,4,BA12254
EX47,1968,8,117,10.1625,NA,NA,NA,NA,0,0,6,BA12254
EX47,1969,7,120,9.621428571,NA,NA,NA,NA,0,0,5,BA12254
SW67,1966,10,125,9.695,11.57857143,12.23125,16.3375,15.725,8,10,3,BA12715
SW66,1967,10,124,11.52,10.28846154,11.6125,13.46875,13.65625,5,10,3,BA12715
EX62H,1965,7,131,14.58571429,10.83928571,11.9125,15.46875,15.2625,6,6,2,BA12743
MP88,1965,11,121,11.28636364,12.675,11.825,11.9125,15.46875,11,11,2,BA12804
C154,1965,11,118,9.881818182,NA,NA,NA,NA,0,0,3,BA12825
SW80A,1965,9,120,10.64444444,12.60384615,11.9,10.9625,14.71875,8,8,6,BA12836
SW80A,1966,8,123,9.3125,11.09666667,10.89375,14.975,17.3375,8,8,4,BA12836
SW86,1967,9,129,11.72222222,10.70384615,12.84375,12.73125,14.6625,4,9,3,BA12836
B161,1965,9,131,13.18333333,11.04545455,11.525,15.18125,15.33125,8,9,7,BA12840
B159,1966,8,125,9.14375,11.35769231,10.89375,14.975,17.3375,8,8,5,BA12840
C4,1965,10,117,9.23,12.53214286,11.3,10.69375,14.4625,0,10,4,BA12849
B219,1965,10,110,7.27,11.8,11.81875,11.825,11.9125,8,10,6,BA12871
B48,1966,9,118,11.58888889,10.71111111,10.84375,14.375,17.53125,7,9,7,BA12871
B49,1968,7,126,8.378571429,9.641176471,14.375,13.625,16.14375,6,6,6,BA12871
B226,1965,9,108,7.238888889,NA,NA,NA,NA,0,0,6,BA12917
C128,1966,6,120,12.23333333,NA,NA,NA,NA,0,0,5,BA12930
B33,1965,10,111,7.595,12.15333333,11.81875,11.825,11.9125,5,6,5,BA12932
MP79,1966,10,120,10.89,NA,NA,NA,NA,0,0,3,BA13239
EX60,1966,7,125,9.057142857,11.25333333,11.41875,15.7375,16.8375,7,7,3,BA25442
EX49,1968,5,121,8.76,NA,NA,NA,NA,0,0,6,BA25442
EX42A,1965,10,117,9.23,12.95,10.9875,10.5875,13.8625,10,10,5,BA25458
CP43,1967,9,114,8.677777778,NA,NA,NA,NA,0,0,2,BA25473
CP43,1968,10,120,8.42,NA,NA,NA,NA,0,0,2,BA25473
CP43,1969,9,127,12.41111111,NA,NA,NA,NA,0,0,2,BA25473
B62,1965,8,117,9.11875,12.9,10.9125,10.675,13.3625,7,8,6,BA25480
O42,1965,11,119,10.41363636,NA,NA,NA,NA,9,9,5,BA26092
EX30,1965,12,118,10.07916667,12.67333333,11.23125,12.46875,15.85,12,12,7,BA26423
B229,1966,7,119,11.97857143,10.32,11.2625,12.23125,16.3375,7,7,6,BA26495
EX59,1965,12,106,7.833333333,NA,NA,NA,NA,0,0,6,BA26633
EX5A,1965,10,112,8.035,NA,NA,NA,NA,0,0,3,BA26886
C8,1965,8,123,11.15625,12.68636364,11.9,10.9625,14.71875,0,8,4,BA26957
C7,1966,7,118,12.21428571,10.13076923,11.6125,10.89375,14.975,0,NA,4,BA26957
O29,1965,10,120,10.805,13.01818182,11.3,10.69375,14.4625,0,8,5,BA42003
O31,1966,9,124,9.088888889,11.39285714,11.41875,15.7375,16.8375,9,9,5,BA42003
EX51A,1966,13,121,10.44230769,11.51923077,11.41875,15.7375,16.8375,3,12,6,BA42005
EX41D,1965,9,120,10.64444444,12.634375,11.23125,12.46875,15.85,7,9,5,BA42243
